"FileName","FullPath","Width","Height","SAR","DAR","FPS","FrameRateRaw","FieldOrder","VideoCodec","PixelFormat","ColorSpace","ColorPrimaries","ColorTransfer","VideoKbps","TotalKbps","AudioCodec","AudioChannels","AudioSampleRate","DurationSeconds","SizeMB","Candidate","Decision","Reason"
"38-孤星淚-科絲迪與艾寶妮.mp4","C:\Users\Synice\Downloads\孤星淚\38-孤星淚-科絲迪與艾寶妮.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"703","837","aac","2","44100","1387.88","138.55","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"39-孤星淚-1832年6月5日.mp4","C:\Users\Synice\Downloads\孤星淚\39-孤星淚-1832年6月5日.mp4","1920","1080",,,"25","4338875/173558","progressive","h264","yuv420p",,,,"842","976","aac","2","44100","1388.6","161.62","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"3-孤星淚-新朋友雪雪.mp4","C:\Users\Synice\Downloads\孤星淚\3-孤星淚-新朋友雪雪.mp4","1920","1080",,,"24.999","34640000/1385653","progressive","h264","yuv420p",,,,"955","1089","aac","2","44100","1385.65","179.87","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"40-孤星淚-革命之夜.mp4","C:\Users\Synice\Downloads\孤星淚\40-孤星淚-革命之夜.mp4","1920","1080",,,"25","4348000/173923","progressive","h264","yuv420p",,,,"769","903","aac","2","44100","1391.38","149.84","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"41-孤星淚-艾寶妮的戀愛.mp4","C:\Users\Synice\Downloads\孤星淚\41-孤星淚-艾寶妮的戀愛.mp4","1920","1080",,,"25","17394000/695771","progressive","h264","yuv420p",,,,"667","801","aac","2","44100","1391.64","132.94","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"42-孤星淚-馬利斯的信.mp4","C:\Users\Synice\Downloads\孤星淚\42-孤星淚-馬利斯的信.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"715","849","aac","2","44100","1387.72","140.4","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"43-孤星淚-卡比勞斯的願望.mp4","C:\Users\Synice\Downloads\孤星淚\43-孤星淚-卡比勞斯的願望.mp4","1920","1080",,,"25","17363000/694531","progressive","h264","yuv420p",,,,"840","974","aac","2","44100","1389.2","161.3","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"44-孤星淚-未來的指路明燈.mp4","C:\Users\Synice\Downloads\孤星淚\44-孤星淚-未來的指路明燈.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"936","1071","aac","2","44100","1390.48","177.5","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"45-孤星淚-巴黎的地下水道.mp4","C:\Users\Synice\Downloads\孤星淚\45-孤星淚-巴黎的地下水道.mp4","1920","1080",,,"25","17359500/694391","progressive","h264","yuv420p",,,,"779","913","aac","2","44100","1388.81","151.15","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"46-孤星淚-薩比盧的正義.mp4","C:\Users\Synice\Downloads\孤星淚\46-孤星淚-薩比盧的正義.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"666","800","aac","2","44100","1387.76","132.34","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"47-孤星淚-情意結.mp4","C:\Users\Synice\Downloads\孤星淚\47-孤星淚-情意結.mp4","1920","1080",,,"25","4338250/173533","progressive","h264","yuv420p",,,,"855","989","aac","2","44100","1388.27","163.75","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"48-孤星淚-科絲迪與馬利斯.mp4","C:\Users\Synice\Downloads\孤星淚\48-孤星淚-科絲迪與馬利斯.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"860","995","aac","2","44100","1387.36","164.51","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"49-孤星淚-我的母親.mp4","C:\Users\Synice\Downloads\孤星淚\49-孤星淚-我的母親.mp4","1920","1080",,,"25","17353500/694151","progressive","h264","yuv420p",,,,"867","1002","aac","2","44100","1388.34","165.85","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"4-孤星淚-媽媽的來信.mp4","C:\Users\Synice\Downloads\孤星淚\4-孤星淚-媽媽的來信.mp4","1920","1080",,,"24.999","1387480/55501","progressive","h264","yuv420p",,,,"835","970","aac","2","44100","1387.52","160.39","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"50-孤星淚-永遠的指環.mp4","C:\Users\Synice\Downloads\孤星淚\50-孤星淚-永遠的指環.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"832","967","aac","2","44100","1387.8","159.9","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"51-孤星淚-真相大白.mp4","C:\Users\Synice\Downloads\孤星淚\51-孤星淚-真相大白.mp4","1920","1080",,,"24.999","11571000/462853","progressive","h264","yuv420p",,,,"773","907","aac","2","44100","1388.58","150.1","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"52-孤星淚-銀燭臺.mp4","C:\Users\Synice\Downloads\孤星淚\52-孤星淚-銀燭臺.mp4","1920","1080",,,"25","25/1","progressive","h264","yuv420p",,,,"720","855","aac","2","44100","1387.79","141.39","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"5-孤星淚-薩比盧的疑惑.mp4","C:\Users\Synice\Downloads\孤星淚\5-孤星淚-薩比盧的疑惑.mp4","1920","1080",,,"24.999","34456000/1378283","progressive","h264","yuv420p",,,,"821","955","aac","2","44100","1378.28","156.85","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"6-孤星淚-科絲迪的生日.mp4","C:\Users\Synice\Downloads\孤星淚\6-孤星淚-科絲迪的生日.mp4","1920","1080",,,"24.999","8671750/346877","progressive","h264","yuv420p",,,,"787","921","aac","2","44100","1387.51","152.41","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"7-孤星淚-迷途羔羊艾寶妮.mp4","C:\Users\Synice\Downloads\孤星淚\7-孤星淚-迷途羔羊艾寶妮.mp4","1920","1080",,,"24.999","17319500/692803","progressive","h264","yuv420p",,,,"810","944","aac","2","44100","1385.61","155.94","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"8-孤星淚-媽媽送來的裙.mp4","C:\Users\Synice\Downloads\孤星淚\8-孤星淚-媽媽送來的裙.mp4","1920","1080",,,"24.999","3464900/138599","progressive","h264","yuv420p",,,,"815","949","aac","2","44100","1385.99","156.77","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
"9-孤星淚-狄納路丁的詭計.mp4","C:\Users\Synice\Downloads\孤星淚\9-孤星淚-狄納路丁的詭計.mp4","1920","1080",,,"24.999","34574000/1383033","progressive","h264","yuv420p",,,,"618","751","aac","2","44100","1383.03","123.86","False","ALREADY_1080_HEIGHT","Already 1080 pixels high; do not upscale automatically."
